BASIC,465,543.64,605.8,660.02,712.5,767.3,826.74,891.56,961.34,1034.66,1109.46,1183.36,1253.82,1318.54,1375.74,1424.36,1464.46,1497.42,1526.24,1555.9
ORIGINAL,2423.84,2502.48,2564.64,2618.86,2671.34,2726.14,2785.58,2850.4,2920.18,2993.5,3068.3,3142.2,3212.66,3277.38,3334.58,3383.2,3423.3,3456.26,3485.08,3514.74
OPTIMIZED,2361.525,2395.744,2438.973,2473.511,2517.492,2548.09,2595.666,2626.354,2650.52,2708.8,2727.225,2766.45,2836.915,2856.731,2880.797,2923.951,3029.31,3058.3,3081.48,3100.12
ENHANCED,418.503,478.366,539.067,598.092,657.955,741.14,775.914,891.5,928.03,957.27,1109.46,1183.36,1253.82,1318.54,1375.74,1424.36,1464.46,1497.42,1526.24,1555.9
RASPBERRY,74.57,104.96,361.557,396.095,538.018,568.616,714.134,744.822,768.988,925.21,943.635,982.86,1249.209,1269.025,1293.091,1336.245,1735.43,1764.42,1787.6,1806.24
RASPBERRY-V2,74.57,104.96,312.378,346.858,463.654,493.219,615.684,644.437,670.812,802.705,821.365,856.515,1076.885,1097.549,1120.827,1159.656,1486.42,1516.59,1541.21,1561.23
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,83.9634408602151,80.6931057317342,40.3174314955431,39.9874246234963,24.488701754386,25.8939137234458,13.6204852795317,16.4585670061465,20.0087378034826,10.5783542419732,14.9464604402142,16.9432801514332,0.367756137244571,3.75528994190543,6.0076031808336,6.1862871745907,-18.5030659765374,-17.8306687502504,-17.1244365237446,-16.0897229899094
,83.9634408602151,80.6931057317342,48.435457246616,47.4473500803006,34.9257543859649,35.7201876710543,25.5287030989186,27.7180447754498,30.2211496452868,22.418475634508,25.9671371658284,27.6200818009735,14.1116747220494,16.7602803100399,18.5291552182825,18.5840658260552,-1.49952883656775,-1.28020194734943,-0.980841807317331,-0.342567003020755
